Pop,Pop Density,Ethnic Minorities,Income,Employment,IMD,Num of Cs,Num of  Is,Num of Ss
1613,69.837028,6.5,3.5,4.1,8.918,0,0,0
1560,48.132636,7.3,5.5,4.9,8.347,0,0,0
1611,57.726269,6.9,3.4,4.2,6.105,1,0,0
1309,59.607459,8.4,4.1,3.3,6.252,0,0,0
1634,56.423127,8.4,5.3,5.1,9.662,0,0,0
1462,66.923711,10.4,7.7,4,11.175,0,0,0
1535,84.039539,8.2,2,3.2,4.979,0,0,0
1626,40.889007,10.7,4.8,3.4,7.459,0,0,0
1507,63.213082,8.1,4.6,3.4,7.89,1,0,0
1625,41.338634,8.6,5,3.9,7.587,0,0,0
1678,49.855551,11.6,9.9,6.1,14.763,1,0,0
1683,49.563322,9.7,4.6,3.4,5.202,0,0,0
1489,88.970002,15.1,14.3,12.3,21.316,0,0,0
1599,40.447018,9.7,3.9,4.7,8.189,0,0,0
1618,54.227421,16,5.2,6.3,7.94,1,0,1
1468,64.649363,15.8,2,2.7,4.079,0,0,0
1666,56.394277,11.1,4.6,3.9,6.15,1,0,1
1256,59.665072,15.3,4.4,4.1,6.167,1,0,0
1922,51.072224,14.7,10.9,8,18.65,1,4,0
1648,71.254293,9.4,7.5,6.2,11.27,0,0,0
1641,36.954457,11.1,7.4,5.6,12.63,2,0,0
1565,33.093964,15.8,5.7,5.4,9.306,0,0,0
1664,40.180443,14.3,7.3,5.4,12.692,0,0,0
1833,54.437876,12.1,9.2,6,14.39,0,0,0
1683,68.557834,16.1,8.7,5.5,9.865,0,0,0
2167,70.416462,18.7,20.5,16.5,30.905,0,0,0
1671,96.582717,16.9,23.7,16,33.932,0,0,0
1710,69.899461,10.8,9.8,8.2,14.638,0,0,0
1604,44.469813,10.6,7.4,7.2,11.364,0,1,0
1609,64.076041,8.9,5.3,3.9,8.174,0,0,0
1659,62.765916,22.6,19.7,16.4,29.915,0,0,0
1297,152.153988,35.1,13.5,10.6,29.344,0,1,0
1640,21.815463,16.9,24.1,20.5,42.38,0,0,0
2105,48.652248,11.8,11.2,8.5,18.295,0,1,0
1633,30.558945,12.7,8.3,5.8,16.232,0,0,0
1455,38.893528,7.3,6.4,7.1,12.286,0,0,0
2961,23.429697,12.6,12.3,9.5,21.241,2,2,0
1774,46.536849,11,12.2,7.5,18.601,0,0,0
1728,75.307122,9.1,13.4,8.7,23.317,0,0,0
1710,8.735999,7.9,14.9,12.9,27.812,0,2,0
1552,22.691124,9.8,3.3,3.7,6.444,0,0,0
1488,5.304714,8,10.1,8.5,21.082,0,1,0
1708,47.004925,7,9.6,5.3,12.076,0,0,0
2046,32.857753,14.3,22,13.6,32.32,0,0,0
1539,30.797836,20.2,25.3,19.5,41.618,1,0,0
1577,52.289615,10,6.6,6.7,12.348,0,0,0
1553,30.655605,18,7,5.6,10.762,1,0,0
1750,33.541761,14.1,8.2,5.7,11.233,0,0,0
1259,25.722096,17.3,5.6,4.4,10.167,0,0,0
1763,31.31396,11.2,8.5,6.8,13.901,0,0,0
2146,88.114832,24.2,15.4,9.2,22.909,2,1,1
1698,80.592875,15.5,4.6,3.9,9.166,0,0,0
1689,69.623171,13,7.5,5.2,9.317,1,0,0
1533,113.717936,12.8,3.1,3,5.03,0,0,0
1371,55.044172,15.5,4.6,3.8,8.072,0,0,0
1646,61.530012,15.1,11.9,10.6,20.001,0,0,0
1582,54.956549,17.7,4.7,4.3,9.101,0,0,0
1570,46.695392,20,9.3,9,14.705,0,0,0
1850,86.110879,18,14,9.7,21.111,0,0,0
1614,66.775993,21.9,15.9,10.6,23.537,0,0,0
2266,37.039083,26,19.8,12.3,29.529,1,3,0
2533,182.615785,38.9,22,12.6,30.082,0,1,0
1552,33.572215,32.6,17.5,11.3,28.889,0,1,0
1988,37.781343,34.8,15,8.4,23.276,0,0,0
1714,44.929601,20.9,9.6,6.9,14.648,0,0,0
1852,18.224933,41.9,18,10.2,23.784,1,1,0
1741,81.360337,8.4,3.6,3.9,5.938,0,0,0
1660,59.067748,11.6,3.4,3.1,7.496,1,0,0
1466,82.234932,14.2,5.5,4.5,9.621,0,0,0
1802,64.809215,14.7,3.7,3.7,8.605,0,0,0
1380,55.096663,12.7,6.1,4.8,10.974,1,0,0
1975,64.590414,27.4,9.2,5.2,13.631,0,1,0
1457,72.417861,17.8,3.9,3.5,6.236,0,0,0
1774,117.403648,50.9,16.8,11,25.261,0,0,0
1837,22.647832,22.8,11.2,8.3,19.563,0,0,0
2065,39.585007,40.4,13.3,6.1,18.667,0,0,0
1357,62.396818,15.2,4.9,4.5,8.707,0,0,0
1520,55.176521,13.9,7.3,6.1,11.155,0,0,0
1477,43.444425,12.5,4,4.9,7.222,0,0,0
1567,147.181272,54.7,27.7,15.9,35.949,0,0,0
1637,59.89109,8.1,4.2,3.7,5.619,0,0,0
1671,41.574357,7.9,4,3.2,6.789,0,0,0
1725,41.833434,6.8,4.1,3.9,6.454,0,0,0
1594,79.240815,8.2,7.7,4.2,10.343,0,1,1
2225,61.911324,8.3,8.6,7.2,12.878,0,0,0
1860,20.266606,17.2,15.3,9.4,23.903,0,0,0
1718,48.82756,30.9,25.7,18.7,42.524,0,0,0
2238,15.360824,35.9,12.8,8.1,16.489,0,1,0
1502,139.481865,30.5,25.6,16.1,36.113,0,0,0
2456,58.932658,24.3,16.5,11.1,24.386,0,0,0
2073,81.861301,26.5,22.4,16.2,35.521,0,0,0
1755,11.417158,17.6,23.9,18,38.229,0,0,0
1458,75.959235,21.4,20.5,12.3,31.181,0,0,0
1784,55.125342,12.3,3.7,3.9,5.016,0,0,0
1340,40.915475,13.1,8.9,6.6,13.671,0,0,0
1751,112.203455,15.3,9,5.6,14.031,0,1,0
1420,63.68932,16.1,15.7,11.6,23.787,0,2,0
1423,63.876888,15.6,3.7,4.6,7.749,0,0,0
1712,65.814163,15.4,21.5,13.6,29.024,0,0,0
1663,62.882083,14.3,9.3,7.8,13.895,0,0,0
1323,41.063227,6.4,10,10,18.208,1,0,0
1678,11.804508,14,2.9,4.3,6.832,0,0,0
1684,29.933938,8.8,3.2,3.1,5.791,0,1,0
1564,73.03555,5.9,3.7,3.5,6.243,0,0,0
1901,20.288288,8.8,7.1,4.7,10.353,0,0,0
1324,25.831486,6.1,2.6,2.8,3.171,0,0,0
1466,33.321521,7.5,2.8,3.4,5.445,0,0,0
1870,68.455977,18,12.3,10.3,18.048,0,0,0
1734,104.644944,16.8,4.3,3.8,7.498,0,0,0
1436,127.425307,18.5,5.6,4.2,7.478,0,0,0
1474,67.652288,14.8,5.2,4.1,8.045,0,0,0
1682,84.346266,17.1,11.6,9,18.58,0,0,0
1761,73.156503,19.8,4.9,4.3,8.188,0,0,0
1447,77.508418,15.3,3.9,4.1,6.115,0,0,0
2118,77.779133,12.6,8.1,4.9,12.09,1,1,0
1457,46.159407,8.8,4.6,3.2,5.631,0,0,0
1823,71.701273,9.9,12.1,7.7,14.438,0,0,1
1255,28.116689,8.5,3.4,3.1,5.115,0,0,0
1602,26.206411,10.7,3.7,3.5,7.086,0,0,0
1875,37.155907,10.3,10.1,6,14.326,1,0,0
1236,67.219019,9.3,3.5,3.5,5.128,0,0,0
1635,115.170725,48,21.5,11.7,25.484,0,0,0
1785,60.330332,41.8,22.5,13.7,28.674,0,0,0
1926,8.199003,53.1,18.3,11.5,23.424,0,0,0
1986,96.094187,51.9,15.7,8.4,18.552,0,0,0
3134,123.208014,63.5,15.8,7.4,20.855,0,0,0
1905,54.558736,53.7,14.3,8.6,19.895,0,0,0
1356,40.523018,47.7,24.1,17.6,38.345,0,0,0
